sentence,label
游戏太坑，暴率太低，太克金，平民不能玩,negative
让人失望,negative
能解决一下服务器问题？网络正常老掉线，换手机也一样。。。,negative
期待,positive
一星也不想给，这特么简直龟速，炫舞老年版？,negative
衣服不好看游戏内容无特色，界面乱糟糟的,negative
喜欢喜欢,positive
从有了这个手游就一直玩，很喜欢呀，希望更多漂漂衣服,positive
因违反评价条例规定被折叠,negative
毕竟是青春啊。还记得每个中午晚自习都得去网吧跳两首，每次到机子提示余额不足要关机了，就和小伙伴选择水仙进去蹦，单曲循环直到机子自动关机，那个时候还没有十星的歌，水仙对我们来说是最难的。每周末就更不用说了一群小伙伴就扎网吧里蹦跶，我们也不非主流，也不怎么社交，顶多认识几个网友认个哥哥姐姐弟弟妹妹，而且基本都是纯技术党，每首都认真的跳认真的比都努力的P。到后来，快歌也能P30+了，十星的传统也随便搞了，到后来小伙伴有人能单手十星节奏模式了，再到后来基本都能反键了，再到后来，就毕业了，就散了。每个通宵的夜晚，都要准备一包湿纸巾，因为晚上通宵玩多了手油，不利于操作，每次都很勤快的剪指甲，因为指甲稍微长一点就可能会在方向键转换中格挡影响手速，冬天的夜晚通宵是最痛苦的，手很冷，很僵，每次都要想尽办法捂手，才能开始真正的所谓battle。每次也不惧别人的眼光，毕竟键盘声音真的很大，网吧的机子基本空格键都是一边高高翘起的，方向键大部分都已经是空白的了，而且很多都是坏的。每次上机前都要先模拟游戏啪嗒啪嗒先按两下试试手感，不好就换机。在课堂上，无聊的时候就自己画各种方向键模拟练习手速，学校里计算机课的时候也是自己模拟各种方向键练习。一群人乐此不疲，听歌，跳炫舞，成绩却还是名列前茅。最后各奔东西，听到熟悉的音乐指尖还是忍不住随着节奏动起来，想起曾经那些过往和那群小伙伴。,positive
不好玩，还不如那个劲舞团，感觉连人家的三分之一都打不到，捏脸系统除了也多大意思，,negative
麻烦，我问一下毒奶粉还要内测几次,positive
垃圾游戏吃枣药丸,negative
"一星给我原本的端游炫舞,一星给歌曲,剩下的一星其实也就是勉强给，,这游戏太卡了，卡的不行。新手指导做过一次又给我来一次？？？而且点了也没反应又不能返回只能后台关闭，关闭再开问题依旧！！这让我很不喜欢！",negative
好玩,positive
这人物模型和立绘简直丑到想吐，根本不想体验什么游戏性了，看到那张脸根本就没心情了,negative
排位很懊恼啊，我作为一个apac控节奏的手动挡，我居然比不过一个看节奏爆气的玩家，别跟我说这是游戏的特色，我觉得太恶心了，我特别想知道为什么第一加两分第二家一分，第三却没有，第四还要扣分？？这样玩起来就没意思了还是玩劲舞手游好了,negative
还可以，个人觉得挺好玩的，不过有一点希望官方可以改一下，就是进游戏界面和社区里很卡,positive
感觉画质有点倩女幽魂的感觉,negative
是我老了手指硬了吗？,positive
为了换装玩的，打歌部分手感有点差，而且疯狂掉线和闪退诶，看了大家的评论才知道我不是一个人,negative
画质很差，不知道一个多1G都用到哪去了，内容太复杂，养花钓鱼杂东西太多，失去了本质，操作没办节奏大师流畅，都不知道该什么时候去按，完全没有节奏感，showtime的抛媚眼好难受,negative
"首先，个人比较喜欢音乐游戏，也是节奏大师的老玩家了，对于最新推出的QQ炫舞特别期待，没玩过端游，感觉还不错，但是我现在依然没有搞懂QQ炫舞是在玩些什么，该怎么玩，因为音乐和敲击的节奏不同，让我感觉这只是看着球球来按的，这样显得背景音乐就是个鸡肋，希望官方能修改。还有也希望系统有和节奏大师那样增加球球掉落的速度的功能，现在那速度让我很烦，太慢了，还是熟悉不了这游戏,追加:这根本就不是什么音乐游戏，居然还有等级制度？朋友拉了个等级特高的好友，我ACW,他AC，最终是他成绩比我高，就因为他等级高技能强？一开始我还以为技能什么的是无解，原来想要得到高分除了手速还需要等级吼，这特么叫音乐游戏？成绩都是靠加成上去的，强烈要求排位赛里面把技能加成消除掉，因为这对一些不喜欢肝，技术好的大大来说是一种耻辱，这会让人觉得游戏的恶心，然后果断卸载",negative
当初在炫2的时候的的确确收货了很多朋友呀，等我毕业了一定会回去的，愿意为情怀打满分*罒▽罒*,positive
发型好丑，最主要的是根本建不了角色，人太多行，等你，开了个新区还是一样。。。,negative
80左右的慢歌，非要上100左右的节奏，玩起来很不适应。角色一张没有表情的脸，就想打了肉毒杆菌。舞蹈跟歌曲完全配不上，特写的舞步真心不咋地,negative
判定圈能不能大点？？？长条能不能不吃音？？？能不能照顾一下不带爆气的玩家？？？我排位就算带了极限强化7个小P都打不过你个死🐴卡点玩家？,negative
期待很高，落差很大,negative
"优化不好，玩王者都没你烧,动作太……二，舞蹈动作不好看,排位计分搞不懂,传统模式和泡泡模式受不了,最多休闲吧",negative
……………,positive
怎么还没开服？,positive
什么时候能玩?,negative
老玩家,positive
游戏中经常有玩到高潮的时候，突然消失服务器断了然后自己退出到游戏主页面，排位的话如果到了音乐家还会掉段位，这个真挺气，说实话，作为腾讯端游里具有代表性的游戏，手游做成这样着实有点失望了,negative
自从玩了这游戏，各种被刺激，身边的都是白人偏偏自己给的发亮，心态真的炸了，卸载了五次下了五次！感觉离退游不远了！慎入！,negative
赞,positive
喜欢，跟touch好像❤️❤️❤️❤️,positive
真的bug太多了，各种卡就算了，我去打排位各种漏键，以前五轨漏键就算了，大不了我ban了，我现在泡泡弹珠星动全都漏键，神tm长条按着也能掉，s1天使，s2神手，s3神手，我现在御音5(*꒦ິ⌓꒦ີ),negative
麻麻，我手疼(￣Д￣)ﾉ,positive
"手里拿个东西就会疯狂穿模，，,极乐净土？这不是我想要的那个极乐净土,(／‵口′)／~╧╧",positive
我ap第一名ac我爆气比她高，怎么赢不了？？？？为什么！！！？？？？这是排位啊,negative
有多少人下这游戏只是为了得那个厘米秀场景的,positive
"总感觉有什么不对的地方，哪里怪怪的。音效真的非常尴尬，几乎可以盖过BGM，还有按键也是不方便，操作感个人感觉是真的不太好。QQ炫舞是老游戏了，大多数人都是情怀老玩家，不求做到最好，但起码得有一个良好的游戏体验啊,建议优化一下操作系统，尴尬奇怪的音效，歌曲多收录分类，人物舞蹈优化创新",negative
玩了一段时间。感觉有些乏味,negative
三月份才公测嘛(ಥ_ಥ)都开学了,positive
本伯爵正下载中~不知道还能不能找回葬爱丶家族的热血，我知道手游建模都是丑丑的，穿模严重的，安装好了，我进去看看，毕竟是端游玩家，希望没有情侣模式，不知道TX对情侣模式那么较劲。。。喇叭都是那些呆瓜在叫，又不是不知道网恋害了多少纯情男孩子。。。我看TX就是个坏人,positive
超级好上排位，匹配的对手相当菜，超级满意！,positive
"看到很多人各种吐槽，但是个人玩得挺开心的，也没遇见各种bug（可能是平时没太多时间玩，所以没遇到），所以还是给个四星评价吧，就是总是有刷钻的还有冒充官网客服的来加好友，很烦，而且在申请列表界面没法点击头像就可以举报，希望官方能改进一下。,就游戏本身玩法来说，换装和音游都是我喜欢的游戏元素，所以这款游戏还挺适合我的，就是捏脸不系统不喜欢，虽然上次版本更新说是升级了捏脸，但是还是不太满意。,最重要的是我觉得不肝，每天花半个小时——1个小时在上面打打排位做做日常就挺开心了，因为不在乎排位名次，不追求社交，没有收集强迫症，所以当做听歌放松3d换装游戏来玩的，做个月卡党就满足了。",positive
"模式目前我只解锁了3种，因为我玩的音游很少，所以我觉得这几个模式还不错,人物不是很好看，衣服也不多，跟端游完全比不了,略卡，玩的时候不太觉得，但是任务什么的界面总是觉得有卡顿,整体来说还可以吧，因为有端游做比较，所以我感觉4星吧，还是有提升空间的",positive
"别的不说，就那个自带的技能，爆气加成明显优于其他技能。同个图，我带perfect加成并且ap，评分比不过别人没ac带爆气的。,给四星是因为觉得其他大体满意，希望能把携带技能改的平衡一点，或者转移到休闲区",positive
"没玩过端游，等cytus2安卓等到手痒就下载玩玩。,平时玩农药多，玩这个感觉是悠闲游戏。自己听着歌专心点点点，不需要战略沟通对抗。,排位挺友好的，音乐家之前不扣星，只要打就能上。我七成的歌没听过，也能一星期打上音乐家。见到有人居然问为什么输了要扣星，我也是醉了，怕是第一次玩有排位的游戏。,看别人的意见感觉对我都不是问题。,爆气感觉挺刺激的，别人瞎爆，最后被我一段高潮逆袭的感觉很爽。说爆气不公平的麻烦自己总结下爆气时机，一般是前半段记高潮，后半段爆。打到音乐家就会出现经常不约而同一起爆。,卡点问题低星慢歌比较明显，段位上来打五六星的歌就没发现了。,服装方面，没有分数加成我就很感动了。白送的衣服也不难看。因为主要用来听歌，也没氪过。,唯一希望就是可以多加动漫歌，遇到头文字D和超时空要塞的歌时挺感动，可惜只有一两首。",positive
找到童年的记忆,positive
"问个问题，我在12和13号时候就通过扣扣浏览器和tap手机号以及微信预约了，也显示预约成功，然后今天我用微信登录的刚才上去领为什么说我没有预约？？,然后我现在是心悦2，可以领心悦礼包却用不了心悦装饰，怎么回事？",positive
天天想着用老牌IP圈钱！,negative
3分，因为对拇指党有着深深的恶意，真心希望能够像节奏大师那样能够滑键。,negative
太大了！！！我下不起！！！内存给我改小！我想氪金,negative
加油,positive
之前下载了这个游戏感觉很好玩.看到了一个刷钻的.就去买了.结果被骗了500多块钱.只想警告大家不要上当了.骗子qq927887919.本人小学生一个.被骗走了所有积蓄.什么都没有了.还没有把这件事告诉家长.怕被打.举报了这个人也没用.现在的人都是这样的吗？真的好希望有人能安慰我一下.我的qq3283779936。愿你往后余生一切安好陌生人.祝福你。2018年10月7日下午7点21分,negative
没意思,negative
"舞蹈和爆气的问题很多人反馈了，我这里也不多说了。,个人有些感觉玩的时候音符和敲击点的颜色太过接近了（就是20combo一下蓝色然后变成绿色那些……），有的时候在切颜色的时候会闪一下，由于他们颜色太接近一时眼花没看到造成miss（虽然很少，但偶尔会出现这种情况），希望能够有点颜色区分或者不要和舞台灯光什么混在一起（加个淡灰色的底层什么的）。,然后歌曲的难度感觉增加的太慢了……特别是事务所，大部分都是简单的歌又慢玩起来很不舒服，希望能够提高难度吧。,哦还有，希望加个调整延迟的功能，有些歌节奏玩起来稍微感觉有些对不上，能调整的话会好很多。,谢谢。",positive
无语了,positive
还不如节奏大师呢,negative
产品充分展示了开发的蜜汁自信带我们重温了win98的时光佩服佩服,positive
